Period,Country,Area type,Area code,Area name,Sex,Sex code,Age group,Age code,HLE,LCI,UCI,Proportion (%)
2014 to 2016,England,Country,E92000001,England,Female,2,<1,1,64.0,63.8,64.3,77
2015 to 2017,England,Local Areas,E06000006,Halton,Male,1,<1,1,58.8,56.4,61.2,76
2015 to 2017,England,Local Areas,E06000006,Halton,Female,2,<1,1,59.3,56.8,61.8,74
2015 to 2017,England,Local Areas,E08000011,Knowsley,Male,1,<1,1,58.1,55.7,60.5,76
2015 to 2017,England,Local Areas,E08000011,Knowsley,Female,2,<1,1,58.9,56.3,61.5,73
2015 to 2017,England,Local Areas,E08000012,Liverpool,Male,1,<1,1,58.6,56.4,60.7,77
2015 to 2017,England,Local Areas,E08000012,Liverpool,Female,2,<1,1,59.6,57.3,61.9,74
2015 to 2017,England,Local Areas,E08000013,St. Helens,Male,1,<1,1,57.9,55.4,60.4,75
2015 to 2017,England,Local Areas,E08000013,St. Helens,Female,2,<1,1,58.3,55.5,61.0,72
2015 to 2017,England,Local Areas,E08000014,Sefton,Male,1,<1,1,61.8,59.7,64.0,78
2015 to 2017,England,Local Areas,E08000014,Sefton,Female,2,<1,1,62.7,60.3,65.1,76
2015 to 2017,England,Local Areas,E08000015,Wirral,Male,1,<1,1,60.0,57.6,62.5,77
2015 to 2017,England,Local Areas,E08000015,Wirral,Female,2,<1,1,60.8,58.3,63.3,74
2015 to 2017,England,Country,E92000001,England,Male,1,<1,1,63.3,63.2,63.5,80
2015 to 2017,England,Country,E92000001,England,Female,2,<1,1,64.0,63.8,64.2,77
2016 to 2018,England,Local Areas,E06000006,Halton,Male,1,<1,1,58.6,56.1,61.0,76
2016 to 2018,England,Local Areas,E06000006,Halton,Female,2,<1,1,59.3,56.7,61.9,73
2016 to 2018,England,Local Areas,E08000011,Knowsley,Male,1,<1,1,58.6,56.1,61.0,76
2016 to 2018,England,Local Areas,E08000011,Knowsley,Female,2,<1,1,59.2,56.5,61.8,74
2016 to 2018,England,Local Areas,E08000012,Liverpool,Male,1,<1,1,58.7,56.6,60.8,77
2016 to 2018,England,Local Areas,E08000012,Liverpool,Female,2,<1,1,59.5,57.2,61.9,74
2016 to 2018,England,Local Areas,E08000013,St. Helens,Male,1,<1,1,58.6,56.1,61.2,75
2016 to 2018,England,Local Areas,E08000013,St. Helens,Female,2,<1,1,58.9,55.9,61.8,73
2016 to 2018,England,Local Areas,E08000014,Sefton,Male,1,<1,1,63.3,61.2,65.3,80
2016 to 2018,England,Local Areas,E08000014,Sefton,Female,2,<1,1,64.3,62.0,66.6,78
2016 to 2018,England,Local Areas,E08000015,Wirral,Male,1,<1,1,62.0,59.7,64.3,79
2016 to 2018,England,Local Areas,E08000015,Wirral,Female,2,<1,1,63.1,60.7,65.5,77
2016 to 2018,England,Country,E92000001,England,Male,1,<1,1,63.3,63.1,63.5,80
2016 to 2018,England,Country,E92000001,England,Female,2,<1,1,64.1,63.9,64.3,77
2017 to 2019,England,Local Areas,E06000006,Halton,Male,1,<1,1,59.4,56.9,61.9,77
2017 to 2019,England,Local Areas,E06000006,Halton,Female,2,<1,1,59.8,57.2,62.5,73
2017 to 2019,England,Local Areas,E08000011,Knowsley,Male,1,<1,1,59.5,56.9,62.0,77
2017 to 2019,England,Local Areas,E08000011,Knowsley,Female,2,<1,1,59.7,57.0,62.3,74
2017 to 2019,England,Local Areas,E08000012,Liverpool,Male,1,<1,1,58.7,56.5,60.8,77
2017 to 2019,England,Local Areas,E08000012,Liverpool,Female,2,<1,1,59.0,56.5,61.5,73
2017 to 2019,England,Local Areas,E08000013,St. Helens,Male,1,<1,1,58.6,56.0,61.1,75
2017 to 2019,England,Local Areas,E08000013,St. Helens,Female,2,<1,1,58.5,55.6,61.3,72
2017 to 2019,England,Local Areas,E08000014,Sefton,Male,1,<1,1,63.8,61.7,65.8,81
2017 to 2019,England,Local Areas,E08000014,Sefton,Female,2,<1,1,64.5,62.2,66.8,78
2017 to 2019,England,Local Areas,E08000015,Wirral,Male,1,<1,1,62.0,59.7,64.3,79
2017 to 2019,England,Local Areas,E08000015,Wirral,Female,2,<1,1,62.6,60.1,65.1,76
2017 to 2019,England,Country,E92000001,England,Male,1,<1,1,63.2,63.0,63.4,79
2017 to 2019,England,Country,E92000001,England,Female,2,<1,1,63.7,63.5,64.0,77
2018 to 2020,England,Local Areas,E06000006,Halton,Male,1,<1,1,59.6,57.0,62.2,77
2018 to 2020,England,Local Areas,E06000006,Halton,Female,2,<1,1,60.0,57.3,62.8,74
2018 to 2020,England,Local Areas,E08000011,Knowsley,Male,1,<1,1,59.2,56.4,62.0,78
2018 to 2020,England,Local Areas,E08000011,Knowsley,Female,2,<1,1,59.5,56.6,62.4,75
2018 to 2020,England,Local Areas,E08000012,Liverpool,Male,1,<1,1,58.1,55.6,60.5,76
2018 to 2020,England,Local Areas,E08000012,Liverpool,Female,2,<1,1,58.5,55.8,61.2,73
2018 to 2020,England,Local Areas,E08000013,St. Helens,Male,1,<1,1,60.9,58.4,63.5,79
2018 to 2020,England,Local Areas,E08000013,St. Helens,Female,2,<1,1,61.4,58.6,64.3,76
2018 to 2020,England,Local Areas,E08000014,Sefton,Male,1,<1,1,63.8,61.7,65.9,82
2018 to 2020,England,Local Areas,E08000014,Sefton,Female,2,<1,1,65.0,62.5,67.6,79
2018 to 2020,England,Local Areas,E08000015,Wirral,Male,1,<1,1,62.0,59.7,64.2,80
2018 to 2020,England,Local Areas,E08000015,Wirral,Female,2,<1,1,62.8,60.2,65.4,77
2018 to 2020,England,Country,E92000001,England,Male,1,<1,1,63.1,62.9,63.3,80
2018 to 2020,England,Country,E92000001,England,Female,2,<1,1,64.0,63.8,64.3,77
2019 to 2021,England,Local Areas,E06000006,Halton,Male,1,<1,1,58.2,55.2,61.2,75
2019 to 2021,England,Local Areas,E06000006,Halton,Female,2,<1,1,58.1,55.0,61.3,72
2019 to 2021,England,Local Areas,E08000011,Knowsley,Male,1,<1,1,58.3,55.0,61.5,77
